[Point Spectroscopy Data]
Approach Rate=0.0493 µm/sec
Retreat Rate=0.0493 µm/sec
Z Start=-5.3484 µm
Z End=5.5000 µm
Cycle Hold Time=0.000 sec
½ Cycle Hold Time=0.000 sec
&Z Piezo Linerizer On=yes
Trigger on:Deflection Signal   >==2.000000 V

[Series layout]
Points Number=1024
Series Number=1
Trace Z Position, µm	Deflection Signal, V	Retrace Z Position, µm	Deflection Signal, V

[Data]
 -2.543010	  0.524493	  2.543011	  0.601748
 -2.532258	  0.519322	  2.532258	  0.596577
 -2.521505	  0.521451	  2.521506	  0.592927
 -2.510752	  0.514456	  2.510753	  0.592927
 -2.500000	  0.517193	  2.500000	  0.587148
 -2.489247	  0.512935	  2.489248	  0.588973
 -2.478494	  0.510502	  2.478495	  0.593840
 -2.467741	  0.512023	  2.467742	  0.591711
 -2.456989	  0.506244	  2.456989	  0.584715
 -2.446236	  0.505635	  2.446237	  0.585627
 -2.435483	  0.502898	  2.435484	  0.584107
 -2.424731	  0.504723	  2.424731	  0.579849
 -2.413978	  0.495903	  2.413979	  0.580457
 -2.403225	  0.493469	  2.403226	  0.580761
 -2.392473	  0.490428	  2.392473	  0.576199
 -2.381720	  0.488907	  2.381721	  0.573461
 -2.370967	  0.485561	  2.370968	  0.577720
 -2.360215	  0.485257	  2.360215	  0.568595
 -2.349462	  0.487690	  2.349463	  0.570724
 -2.338709	  0.484345	  2.338710	  0.569812
 -2.327957	  0.477958	  2.327957	  0.567987
 -2.317204	  0.482520	  2.317204	  0.567987
 -2.306451	  0.477653	  2.306452	  0.568291
 -2.295698	  0.480695	  2.295699	  0.564033
 -2.284946	  0.474004	  2.284946	  0.563120
 -2.274193	  0.469441	  2.274194	  0.559470
 -2.263440	  0.468833	  2.263441	  0.560079
 -2.252688	  0.466400	  2.252688	  0.559470
 -2.241935	  0.461838	  2.241936	  0.553692
 -2.231182	  0.464575	  2.231183	  0.555516
 -2.220430	  0.464271	  2.220430	  0.548825
 -2.209677	  0.460621	  2.209677	  0.550954
 -2.198924	  0.456059	  2.198925	  0.556125
 -2.188172	  0.449976	  2.188172	  0.551867
 -2.177419	  0.450584	  2.177420	  0.553692
 -2.166666	  0.445413	  2.166667	  0.548521
 -2.155913	  0.449671	  2.155914	  0.551258
 -2.145161	  0.448151	  2.145161	  0.548825
 -2.134408	  0.442676	  2.134409	  0.550346
 -2.123655	  0.443588	  2.123656	  0.547913
 -2.112903	  0.434768	  2.112903	  0.547608
 -2.102150	  0.438418	  2.102151	  0.546392
 -2.091397	  0.436897	  2.091398	  0.545175
 -2.080645	  0.438722	  2.080645	  0.545784
 -2.069892	  0.429293	  2.069893	  0.541221
 -2.059139	  0.430206	  2.059140	  0.541525
 -2.048387	  0.432943	  2.048387	  0.542438
 -2.037634	  0.435072	  2.037635	  0.540005
 -2.026881	  0.425948	  2.026882	  0.539092
 -2.016129	  0.428381	  2.016129	  0.536659
 -2.005376	  0.421081	  2.005377	  0.540917
 -1.994623	  0.420473	  1.994624	  0.540917
 -1.983870	  0.419865	  1.983871	  0.541830
 -1.973118	  0.415606	  1.973118	  0.545175
 -1.962365	  0.418648	  1.962366	  0.540917
 -1.951612	  0.418040	  1.951613	  0.540917
 -1.940860	  0.419865	  1.940860	  0.542742
 -1.930107	  0.419256	  1.930108	  0.536355
 -1.919354	  0.416215	  1.919355	  0.539701
 -1.908602	  0.409828	  1.908602	  0.540005
 -1.897849	  0.414390	  1.897850	  0.541830
 -1.887096	  0.413173	  1.887097	  0.541830
 -1.876344	  0.413173	  1.876344	  0.540005
 -1.865591	  0.408611	  1.865592	  0.539701
 -1.854838	  0.408307	  1.854839	  0.541221
 -1.844086	  0.404353	  1.844086	  0.545784
 -1.833333	  0.403440	  1.833333	  0.545175
 -1.822580	  0.406178	  1.822581	  0.542438
 -1.811827	  0.410436	  1.811828	  0.545175
 -1.801075	  0.407698	  1.801075	  0.549433
 -1.790322	  0.404961	  1.790323	  0.545175
 -1.779570	  0.403136	  1.779570	  0.546392
 -1.768817	  0.404049	  1.768817	  0.543959
 -1.758064	  0.402528	  1.758065	  0.546696
 -1.747311	  0.403440	  1.747312	  0.551867
 -1.736559	  0.408611	  1.736559	  0.550954
 -1.725806	  0.403136	  1.725807	  0.550650
 -1.715053	  0.404049	  1.715054	  0.553387
 -1.704301	  0.403440	  1.704301	  0.552475
 -1.693548	  0.404961	  1.693549	  0.548217
 -1.682795	  0.403136	  1.682796	  0.556429
 -1.672042	  0.406786	  1.672043	  0.556733
 -1.661290	  0.412261	  1.661291	  0.556125
 -1.650537	  0.411348	  1.650538	  0.559775
 -1.639785	  0.407090	  1.639785	  0.565858
 -1.629032	  0.407090	  1.629032	  0.561599
 -1.618279	  0.410436	  1.618280	  0.565553
 -1.607527	  0.408611	  1.607527	  0.566162
 -1.596774	  0.406482	  1.596774	  0.565553
 -1.586021	  0.407090	  1.586022	  0.568291
 -1.575269	  0.412261	  1.575269	  0.567074
 -1.564516	  0.412261	  1.564516	  0.570420
 -1.553763	  0.411348	  1.553764	  0.574374
 -1.543010	  0.414694	  1.543011	  0.572549
 -1.532258	  0.416519	  1.532258	  0.576199
 -1.521505	  0.414694	  1.521506	  0.574374
 -1.510752	  0.412565	  1.510753	  0.575286
 -1.500000	  0.411957	  1.500000	  0.578632
 -1.489247	  0.417127	  1.489247	  0.577415
 -1.478494	  0.424123	  1.478495	  0.583803
 -1.467742	  0.420169	  1.467742	  0.586236
 -1.456989	  0.416215	  1.456989	  0.589581
 -1.446236	  0.422298	  1.446237	  0.592623
 -1.435483	  0.418040	  1.435484	  0.592623
 -1.424731	  0.430206	  1.424731	  0.590494
 -1.413978	  0.428077	  1.413979	  0.588973
 -1.403225	  0.423514	  1.403226	  0.595360
 -1.392473	  0.426860	  1.392473	  0.598706
 -1.381720	  0.426556	  1.381721	  0.601139
 -1.370968	  0.432031	  1.370968	  0.593840
 -1.360214	  0.429293	  1.360215	  0.602052
 -1.349462	  0.431118	  1.349463	  0.603268
 -1.338709	  0.432335	  1.338710	  0.602356
 -1.327957	  0.432943	  1.327957	  0.607831
 -1.317204	  0.432639	  1.317204	  0.601139
 -1.306451	  0.429293	  1.306452	  0.603877
 -1.295699	  0.435680	  1.295699	  0.607526
 -1.284946	  0.434464	  1.284947	  0.611176
 -1.274193	  0.437810	  1.274194	  0.614218
 -1.263440	  0.441155	  1.263441	  0.615130
 -1.252688	  0.442068	  1.252688	  0.618476
 -1.241935	  0.437810	  1.241936	  0.615130
 -1.231183	  0.441155	  1.231183	  0.624255
 -1.220430	  0.441155	  1.220430	  0.620605
 -1.209677	  0.441155	  1.209678	  0.618172
 -1.198924	  0.444805	  1.198925	  0.622126
 -1.188172	  0.442372	  1.188172	  0.620909
 -1.177419	  0.444805	  1.177420	  0.629730
 -1.166666	  0.443588	  1.166667	  0.624559
 -1.155914	  0.439026	  1.155914	  0.630946
 -1.145161	  0.443893	  1.145162	  0.627296
 -1.134408	  0.439330	  1.134409	  0.629730
 -1.123656	  0.442372	  1.123656	  0.630338
 -1.112903	  0.444805	  1.112903	  0.633988
 -1.102150	  0.442980	  1.102151	  0.631554
 -1.091398	  0.439026	  1.091398	  0.632163
 -1.080645	  0.439026	  1.080645	  0.631250
 -1.069892	  0.441155	  1.069893	  0.634596
 -1.059139	  0.442372	  1.059140	  0.632771
 -1.048387	  0.440243	  1.048387	  0.633075
 -1.037634	  0.442980	  1.037635	  0.635508
 -1.026881	  0.436897	  1.026882	  0.636421
 -1.016129	  0.442676	  1.016129	  0.642504
 -1.005376	  0.439026	  1.005377	  0.641287
 -0.994623	  0.435680	  0.994624	  0.639767
 -0.983871	  0.432335	  0.983871	  0.640983
 -0.973118	  0.432335	  0.973118	  0.643721
 -0.962365	  0.432031	  0.962366	  0.642504
 -0.951613	  0.431422	  0.951613	  0.641287
 -0.940860	  0.436289	  0.940860	  0.643416
 -0.930107	  0.432639	  0.930108	  0.641591
 -0.919354	  0.431727	  0.919355	  0.640983
 -0.908602	  0.427468	  0.908602	  0.640071
 -0.897849	  0.432335	  0.897850	  0.644329
 -0.887096	  0.430814	  0.887097	  0.640071
 -0.876344	  0.434464	  0.876344	  0.640071
 -0.865591	  0.425948	  0.865592	  0.638246
 -0.854838	  0.424731	  0.854839	  0.639158
 -0.844086	  0.422298	  0.844086	  0.638854
 -0.833333	  0.422906	  0.833333	  0.637637
 -0.822580	  0.420473	  0.822581	  0.640679
 -0.811828	  0.418040	  0.811828	  0.636725
 -0.801075	  0.416215	  0.801075	  0.636725
 -0.790322	  0.413477	  0.790323	  0.631250
 -0.779570	  0.412261	  0.779570	  0.640983
 -0.768817	  0.413173	  0.768817	  0.638550
 -0.758064	  0.411044	  0.758065	  0.631250
 -0.747311	  0.405874	  0.747312	  0.634596
 -0.736559	  0.413782	  0.736559	  0.635204
 -0.725806	  0.403136	  0.725807	  0.631859
 -0.715053	  0.402832	  0.715054	  0.632771
 -0.704301	  0.401920	  0.704301	  0.629121
 -0.693548	  0.403745	  0.693549	  0.624559
 -0.682795	  0.394924	  0.682796	  0.628817
 -0.672043	  0.401615	  0.672043	  0.626080
 -0.661290	  0.399486	  0.661290	  0.622734
 -0.650537	  0.396141	  0.650538	  0.621517
 -0.639785	  0.394316	  0.639785	  0.623646
 -0.629032	  0.390362	  0.629032	  0.623342
 -0.618279	  0.394012	  0.618280	  0.619388
 -0.607527	  0.384279	  0.607527	  0.616651
 -0.596774	  0.386104	  0.596774	  0.619997
 -0.586021	  0.384583	  0.586022	  0.613305
 -0.575268	  0.382454	  0.575269	  0.611480
 -0.564516	  0.376371	  0.564516	  0.610264
 -0.553763	  0.377283	  0.553764	  0.605702
 -0.543010	  0.377283	  0.543011	  0.608135
 -0.532258	  0.372417	  0.532258	  0.602660
 -0.521505	  0.368767	  0.521505	  0.602356
 -0.510752	  0.373633	  0.510753	  0.602660
 -0.500000	  0.364813	  0.500000	  0.597794
 -0.489247	  0.365726	  0.489248	  0.592623
 -0.478494	  0.364509	  0.478495	  0.598402
 -0.467742	  0.363596	  0.467742	  0.592319
 -0.456989	  0.367550	  0.456989	  0.591406
 -0.446236	  0.355080	  0.446237	  0.588973
 -0.435484	  0.356601	  0.435484	  0.588973
 -0.424731	  0.351126	  0.424731	  0.586844
 -0.413978	  0.356297	  0.413979	  0.586236
 -0.403225	  0.353559	  0.403226	  0.583194
 -0.392473	  0.353559	  0.392473	  0.575895
 -0.381720	  0.348693	  0.381721	  0.581674
 -0.370967	  0.348997	  0.370968	  0.573766
 -0.360215	  0.348085	  0.360215	  0.576503
 -0.349462	  0.347476	  0.349463	  0.577720
 -0.338709	  0.343218	  0.338710	  0.571941
 -0.327957	  0.343827	  0.327957	  0.569507
 -0.317204	  0.339568	  0.317204	  0.564337
 -0.306451	  0.333485	  0.306452	  0.565249
 -0.295699	  0.335919	  0.295699	  0.567378
 -0.284946	  0.334094	  0.284946	  0.560991
 -0.274193	  0.334398	  0.274194	  0.558862
 -0.263441	  0.329836	  0.263441	  0.563729
 -0.252688	  0.331052	  0.252688	  0.559775
 -0.241935	  0.326794	  0.241936	  0.557341
 -0.231182	  0.319494	  0.231183	  0.553387
 -0.220430	  0.324361	  0.220430	  0.553387
 -0.209677	  0.326186	  0.209678	  0.553996
 -0.198924	  0.323448	  0.198925	  0.552171
 -0.188172	  0.326794	  0.188172	  0.547608
 -0.177419	  0.317669	  0.177420	  0.551562
 -0.166666	  0.318582	  0.166667	  0.549433
 -0.155914	  0.324361	  0.155914	  0.550650
 -0.145161	  0.315540	  0.145162	  0.550954
 -0.134408	  0.321319	  0.134409	  0.552171
 -0.123656	  0.317061	  0.123656	  0.548521
 -0.112903	  0.310674	  0.112903	  0.547000
 -0.102150	  0.319190	  0.102151	  0.547608
 -0.091398	  0.312499	  0.091398	  0.544567
 -0.080645	  0.310674	  0.080645	  0.546088
 -0.069892	  0.309762	  0.069893	  0.545784
 -0.059139	  0.315540	  0.059140	  0.547608
 -0.048387	  0.312803	  0.048387	  0.550042
 -0.037634	  0.310674	  0.037635	  0.548521
 -0.026881	  0.312195	  0.026882	  0.543046
 -0.016129	  0.313715	  0.016129	  0.546696
 -0.005376	  0.308849	  0.005377	  0.547608
  0.005377	  0.309153	 -0.005376	  0.543046
  0.016129	  0.309762	 -0.016129	  0.543959
  0.026882	  0.307632	 -0.026881	  0.543350
  0.037635	  0.307024	 -0.037634	  0.542134
  0.048387	  0.307328	 -0.048387	  0.537267
  0.059140	  0.308545	 -0.059140	  0.543959
  0.069893	  0.310674	 -0.069892	  0.546088
  0.080645	  0.311282	 -0.080645	  0.547304
  0.091398	  0.311282	 -0.091398	  0.548825
  0.102151	  0.314020	 -0.102150	  0.543959
  0.112904	  0.310370	 -0.112903	  0.548521
  0.123656	  0.317669	 -0.123656	  0.545175
  0.134409	  0.315540	 -0.134408	  0.553083
  0.145162	  0.317365	 -0.145161	  0.550650
  0.155914	  0.314628	 -0.155914	  0.549129
  0.166667	  0.317669	 -0.166666	  0.553387
  0.177420	  0.320103	 -0.177419	  0.556125
  0.188172	  0.318582	 -0.188172	  0.559470
  0.198925	  0.320103	 -0.198925	  0.555212
  0.209678	  0.321928	 -0.209677	  0.554300
  0.220430	  0.318278	 -0.220430	  0.562816
